"Neighborhood","CUISINE","RESTAURANT","SCORE"
"West Midtown ","Jewish/Kosher","ABIGAEL'S ON BROADWAY",11
"West Midtown ","Japanese","ARATA IZUMI JAPANESE RESTAURANT",11
"West Midtown ","American","ATOMIC WINGS",11
"West Midtown ","Italian","B SQUARED NYC",11
"West Midtown ","Mexican","CHIPOTLE MEXICAN GRILL",11
"West Midtown ","TexMex","CHIPOTLE MEXICAN GRILL",11
"West Midtown ","American","EAT ON 8TH",11
"West Midtown ","American","FRESCO 57",11
"West Midtown ","American","GINGERS DOUBLE TREE HOTEL",11
"West Midtown ","American","HQ CLUB",11
"West Midtown ","American","HUDSON STATION",11
"West Midtown ","Japanese","IPPUDO NY",11
"West Midtown ","Japanese","JUNMEN RAMEN BAR",11
"West Midtown ","Italian","LA RIVISTA RESTAURANT",11
"West Midtown ","American","LINCOLN PARK GRILL",11
"West Midtown ","American","MARRIOTT MARQUIS  Main Kitchen",11
"West Midtown ","Asian","MOONCAKE FOODS",11
"West Midtown ","American","MUSCLE MAKER GRILL",11
"West Midtown ","French","OCABANON",11
"West Midtown ","Steak","QUALITY MEATS",11
"West Midtown ","American","RANDOM HOUSE",11
"West Midtown ","Mexican","TULCINGO RESTAURANT",11
"West Midtown ","Irish","TWINS PUB",11
"Chelsea Greenwich Village ","Portuguese","ALDEA RESTAURANT",10
"Chelsea Greenwich Village ","Japanese","ASUKA SUSHI",10
"Chelsea Greenwich Village ","Mexican","FONDA OF CHELSEA",10
"Chelsea Greenwich Village ","Salads","GINGERSNAPS ORGANIC",10
"Chelsea Greenwich Village ","Chinese","LEGEND BAR  RESTAURANT",10
"Chelsea Greenwich Village ","Spanish","Los Tacos  1",10
"Chelsea Greenwich Village ","French","MONTMARTRE",10
"Chelsea Greenwich Village ","Hamburgers","NEW YORK BURGER CO",10
"Chelsea Greenwich Village ","American","NORWOOD",10
"Chelsea Greenwich Village ","Pizza","STELLA'S PIZZA",10
"Chelsea Greenwich Village ","Japanese","SUSHI PARA 88",10
"Chelsea Greenwich Village ","Pizza","THE BEST 100 PIZZA",10
"Chelsea Greenwich Village ","Mediterranean","WRAPIDO",10
"East Greenwich Village ","Asian","BANH MI ZON",10
"East Greenwich Village ","American","BLACK MARKET",10
"East Greenwich Village ","Chinese","CHINA WOK",10
"East Greenwich Village ","Caf/Coffee/Tea","COMMUNITY 54",10
"East Greenwich Village ","Mexican","EL CAMION CANTINA",10
"East Greenwich Village ","Mexican","FIVE TACOS",10
"East Greenwich Village ","American","GOOD NIGHT SONNY",10
"East Greenwich Village ","Caf/Coffee/Tea","MATCHA CAFE WABI",10
"East Greenwich Village ","Caf/Coffee/Tea","PBD",10
"East Harlem","Hamburgers","JIMBO'S HAMBURGER",10
"East Harlem","American","KENNEDY CHICKEN  PIZZA",10
"East Harlem","Spanish","TAQUERIA EL BARRIO",10
"East Harlem ","American","LOVE CAFE",10
"East Midtown ","American","AUTHENTIC/BRAISED/BUSHWICK/BUTCHER BLOCK/CRUST DELI/GRIND MEATBALLS/'LEAFAGE/MAYA BLUE",10
"East Midtown ","Japanese","CAFE ZAIYA",10
"East Midtown ","Sandwiches/Salads/Mixed Buffet","ERNESTO'S",10
"East Midtown ","American","FRESCO ON THE GO",10
"East Midtown ","Italian","IL POSTINO",10
"East Midtown ","Japanese","JUKAI",10
"East Midtown ","Irish","MURPHY'S PUB  RESTAURANT",10
"East Midtown ","American","PFIZER CAFE",10
"East Midtown ","Italian","PICCOLO FIORE",10
"East Midtown ","American","SUTTON INN",10
"East Midtown ","Japanese","TERIYAKI BOY",10
"East Midtown ","Indian","THE KATI ROLL COMPANY",10
"East Midtown ","American","The Upsider NYC",10
"East Midtown ","Delicatessen","ZUCKER'S BAGEL",10
"Financial District","American","AROMA ESPRESSO BAR",10
"Financial District","French","RACINES",10
"Financial District","American","YORGANIC",10
"Financial District ","Bagels/Pretzels","AUNTIE ANNE'S",10
"Financial District ","Indian","BOMBAY'S",10
"Financial District ","Sandwiches/Salads/Mixed Buffet","COSI",10
"Financial District ","Thai","OBAO NOODLES  BBQ",10
"Financial District ","American","THE BRASS TAP",10
"Financial District ","American","WENDY'S",10
"Financial District, Seaport","Caf/Coffee/Tea","BIRCH COFFEE",10
"Financial District, Seaport","American","FRESH SALT",10
"Financial District, Seaport","Asian","NUM PANG SANDWICH SHOP",10
"Financial District, Seaport","Caf/Coffee/Tea","VOYAGER ESPRESSO",10
"Financial District, Seaport","Asian","WASABI SUSHI  BENTO",10
"Gramercy ","Japanese","BENTO SUSHI",10
"Gramercy ","Sandwiches","EISENBERG'S SANDWICH SHOP",10
"Gramercy ","Mexican","SHAKA BURRITO",10
"Greenwich Village ","Italian","AMORINO",10
"Greenwich Village ","Caf/Coffee/Tea","ARGO TEA CAFE",10
"Greenwich Village ","Pizza","EAST VILLAGE PIZZA AND KEBAB",10
"Greenwich Village ","Italian","FRANK",10
"Greenwich Village ","Indian","HAVELI INDIAN RESTAURANT",10
"Greenwich Village ","Asian","JACK'S SLIDERS AND SUSHI",10
"Greenwich Village ","Thai","KLONG",10
"Greenwich Village ","Pizza","KRUST PIZZA",10
"Greenwich Village ","Caf/Coffee/Tea","KUNG FU TEA",10
"Greenwich Village ","Thai","Ngam",10
"Greenwich Village ","Japanese","OGAWA CAFE",10
"Greenwich Village ","Japanese","RED KOI ORGANIC SUSHI LOUNGE",10
"Greenwich Village ","Japanese","SHARAKU JAPANESE RESTAURANT",10
"Greenwich Village ","Thai","SPICE",10
"Greenwich Village ","American","THE COCK",10
"Greenwich Village ","American","THE THIRSTY SCHOLAR",10
"Greenwich Village ","American","THE WATERING HOLE",10
"Greenwich Village ","American","UNIVERSITY CENTER CAFE",10
"Greenwich Village ","Italian","VISANA",10
"Greenwich Village ","American","WHITE OAK TAVERN",10
"Harlem","Pizza/Italian","CLASSIC PIZZA  RESTAURANT",10
"Harlem","Latin Cuban Dominican Puerto Rican South  Central American","GRINI'S GRILL  RESTAURANT",10
"Harlem","Soul Food","JACOB RESTAURANT",10
"Harlem","American","MESS HALL",10
"Harlem","Spanish","QUE RICO POLLO RESTAURANT  GRILL",10
"Harlem","African","SHRINE/YATENGA",10
"Harlem","Chinese","SHUN CHEONG iKITCHEN",10
"Harlem","TexMex","TACO BELL KFC",10
"Harlem","Ethiopian","TSION CAFE  BAKERY",10
"Harlem ","American","LENOX FAST FOOD",10
"Inwood ","Spanish","DICHTER PHARMACY",10
"Inwood ","Latin Cuban Dominican Puerto Rican South  Central American","EAT  SHERMAN CREEK",10
"Inwood ","Latin Cuban Dominican Puerto Rican South  Central American","FLORIDITA RESTAURANT UPTOWN 2 INC",10
"Inwood ","Pizza","PAPA JOHN'S",10
"Lower East Side ","Chinese","CONGEE RESTAURANT",10
"Lower East Side ","Donuts","DUNKIN' DONUTS BASKIN ROBBINS",10
"Lower East Side ","American","SONS OF ESSEX",10
"Lower East Side ","Indian","THE MASALA WALA",10
"Lower Manhattan ","American","TIME INC CAFE AND COFFEE BAR",10
"Midtown Upper East Side ","American","ALICES TEA CUP CHAPTER 2",10
"Midtown Upper East Side ","American","BAKER STREET PUB",10
"Midtown Upper East Side ","Japanese","FUJIYAMA",10
"Midtown Upper East Side ","Pizza","GOTHAM PIZZA",10
"Midtown Upper East Side ","American","HUNTER COLLEGE FACULTY DINING",10
"Midtown Upper East Side ","Tapas","LA NUIT",10
"Midtown Upper East Side ","Pizza","MANHATTAN BRICK OVEN PIZZA  GRILL",10
"Midtown Upper East Side ","Italian","MEDITERRANEO",10
"Midtown Upper East Side ","Pizza","PIZZA BOSS",10
"Midtown Upper East Side ","American","THE EAST POLE",10
"Midtown Upper East Side ","American","THE MEATBALL SHOP",10
"Morningside Heights ","Pizza","CHUCK E CHEESE'S",10
"Morningside Heights ","Spanish","EMPANADAS MONUMENTAL",10
"Morningside Heights ","Italian","MAX SOHA",10
"Morningside Heights ","Sandwiches","SUBWAY",10
"Murray Hill ","Chinese/Japanese","AKI SUSHI AND GRILL",10
"Murray Hill ","Latin Cuban Dominican Puerto Rican South  Central American","EL POTE ESPANOL",10
"Murray Hill ","Irish","FAILTE",10
"Murray Hill ","Japanese","HIROSHI JAPANESE RESTAURANT",10
"Murray Hill ","Italian","I TRULLI RESTAURANT",10
"Murray Hill ","Delicatessen","IMPRESS DELI",10
"Murray Hill ","Juice Smoothies Fruit Salads","JUICE",10
"Murray Hill ","Mexican","LA POSADA MEXICAN FOOD",10
"Murray Hill ","Pizza/Italian","LITTLE ITALY PIZZA/PAPAYA DOG",10
"Murray Hill ","American","NATUREWORKS RESTAURANT",10
"Murray Hill ","American","RESTO",10
"Murray Hill ","Korean","soju haus",10
"Murray Hill ","Indian","TAMBA INDIAN GRILL  BAR",10
"Murray Hill ","American","TONIC EAST",10
"Tribeca, Soho ","Chinese","456 RESTAURANT",10
"Tribeca, Soho ","Chinese","BAMBOO VILLAGE RESTAURANT INC",10
"Tribeca, Soho ","Hamburgers","BLACK BURGER/ ROLL N GO PIZZA",10
"Tribeca, Soho ","Pizza","JOEY PEPPERONI",10
"Tribeca, Soho ","Tapas","KANA TAPAS BAR  RESTAURANT",10
"Tribeca, Soho ","American","LAZY POINT",10
"Tribeca, Soho ","Hamburgers","MCDONALD'S",10
"Tribeca, Soho ","American","O'NIEALS",10
"Tribeca, Soho ","American","SANCTUARY T",10
"Tribeca, Soho ","Sandwiches","SUBWAY",10
"Tribeca, Soho ","Bakery","SWEETS BAKERY",10
"Tribeca, Soho ","Caf/Coffee/Tea","TEN REN'S TEA TIME",10
"Tribeca, Soho ","American","THE ROXY HOTEL",10
"Tribeca, Soho ","Delicatessen","TRIBECA BAGELS",10
"Tribeca, Soho ","American","TRIBECA GRILL",10
"Tribeca, Soho ","American","TRIBECA TAPHOUSE",10
"Upper East Side","American","THE DISTRICT",10
"Upper East Side ","Italian","COME PRIMA",10
"Upper East Side ","American","EASTEND BAR  GRILL",10
"Upper East Side ","American","EAT CAFE",10
"Upper East Side ","Asian","GOOD HEALTH NATURAL CAFE",10
"Upper East Side ","American","MILE 17",10
"Upper East Side ","French","THE SIMONE",10
"Upper East Side ","American","WILD HORSE TAVERN",10
"Upper West Side","Bakery","CRUMBS BAKE SHOP",10
"Upper West Side","Pizza","DOMINOS PIZZA",10
"Upper West Side","Caf/Coffee/Tea","EUROPAN CAFE",10
"Upper West Side","Chicken","HARRIET'S KITCHEN",10
"Upper West Side","Japanese","JIN RAMEN UWS",10
"Upper West Side","Thai","OPAI THAI",10
"Upper West Side","American","PEACE FOOD CAFE",10
"Upper West Side","Ice Cream Gelato Yogurt Ices","PINKBERRY",10
"Upper West Side","Chicken","TEXAS ROTISSERIE  GRILL",10
"Upper West Side ","Tapas","BARCIBO ENOTECA",10
"Upper West Side ","Vegetarian","BLOSSOM DU JOUR",10
"Upper West Side ","Italian","CESCA",10
"Village NoHo ","Caf/Coffee/Tea","AB BIAGI",10
"Village NoHo ","Japanese","DOJO RESTAURANT",10
"Village NoHo ","French","DOMINIQUE ANSEL BAKERY",10
"Village NoHo ","Italian","LA LANTERNA DI VITTORIO",10
"Village NoHo ","American","NO 142 BAR",10
"Village NoHo ","Caf/Coffee/Tea","RAPHA CYCLE CLUB",10
"Village NoHo ","Spanish","SOCARRAT NOLITA",10
"Village NoHo ","Indian","SURYA INDIAN CUISINE",10
"Village NoHo ","Japanese","SUSHI SUSHI",10
"Village NoHo ","Mediterranean","THE SMILE",10
"Washington Heights","Donuts","DUNKIN' DONUTS",10
"Washington Heights","Chicken","POPEYES LOUISIANA KITCHEN",10
"Washington Heights","Pizza","SLICE PIZZA",10
"Washington Heights","American","TASTY DELI",10
"Washington Heights","Latin Cuban Dominican Puerto Rican South  Central American","TU SONRISA",10
"Washington Heights ","Chinese","GOLDEN DRAGON III",10
"Washington Heights ","American","NEW LEAF",10
"West Greenwich Village ","Italian","BAKER  CO",10
"West Greenwich Village ","Australian","BLUESTONE LANE COLLECTIVE CAFE",10
"West Greenwich Village ","Mexican","DOS CAMINOS",10
"West Greenwich Village ","American","NOURISH KITCHEN  TABLE",10
"West Greenwich Village ","American","PRET A MANGER",10
"West Greenwich Village ","American","SUGAR FACTORY MEATPACKING",10
"West Greenwich Village ","American","THE QUARTER",10
"West Greenwich Village ","American","THE WARREN",10
"West Midtown ","Asian","ABACKY POTLUCK",10
"West Midtown ","Pizza","ANGELO'S PIZZA",10
"West Midtown ","American","BEER AUTHORITY",10
"West Midtown ","Barbecue","BROTHER JIMMY'S BBQ",10
"West Midtown ","American","CAFE 31",10
"West Midtown ","American","CAFE BISTRO",10
"West Midtown ","American","CAFE BONJOUR DELI  PIZZA",10
"West Midtown ","American","DIZZY'S CLUB COCACOLA ENTRANCE at 20 W60 StStage Door",10
"West Midtown ","Caf/Coffee/Tea","EYES ON HUDSON CAFE",10
"West Midtown ","American","HAYMAKER BAR  KITCHEN",10
"West Midtown ","American","HK BOXERS NYC",10
"West Midtown ","Brazilian","IPANEMA RESTAURANT",10
"West Midtown ","Korean","KBAP",10
"West Midtown ","Italian","LA VELA DINING AND BAR",10
"West Midtown ","Pakistani","LASANI RESTAURANT",10
"West Midtown ","Sandwiches/Salads/Mixed Buffet","LE PAIN QUOTIDIEN",10
"West Midtown ","Caf/Coffee/Tea","LI'L JAYS CAFE",10
"West Midtown ","American","MANGANARO'S HERO BOY",10
"West Midtown ","Vegetarian","MAOZ VEGETARIAN TIMES SQUARE",10
"West Midtown ","Irish","MCGETTIGANS",10
"West Midtown ","American","MURALS ON 54/RANDOLPHS'S",10
"West Midtown ","Italian","NINO TUSCANY",10
"West Midtown ","Pizza/Italian","OVEST PIZZOTECA",10
"West Midtown ","American","PAUL WEISS RIFKIN WHARTON",10
"West Midtown ","American","PAX",10
"West Midtown ","Pizza/Italian","PN WOOD FIRED PIZZA",10
"West Midtown ","Greek","SNACK EOS",10
"West Midtown ","American","THE JONES",10
"West Midtown ","American","THE LIBERTY",10
"West Midtown ","Italian","TONY'S DI NAPOLI",10
"West Midtown ","Steak","UNCLE JACK'S STEAKHOUSE",10
"West Midtown ","American","YAHOO NYC CAFE",10
"Chelsea Greenwich Village ","American","CAFE BEYOND",9
"Chelsea Greenwich Village ","French","CAFE CHAMPIGNON",9
"Chelsea Greenwich Village ","Vietnamese/Cambodian/Malaysia","CO BA RESTAURANT",9
"Chelsea Greenwich Village ","Thai","GO GO THAI",9
"Chelsea Greenwich Village ","American","GUCKENHEIMER  TWITTER",9
"Chelsea Greenwich Village ","Caf/Coffee/Tea","INTELLIGENTSIA COFFEE",9
"Chelsea Greenwich Village ","Pizza","J 'S PIZZA",9
"Chelsea Greenwich Village ","Italian","LA SIRENA",9
"Chelsea Greenwich Village ","American","MOMOFUKU",9
"Chelsea Greenwich Village ","Mexican","OAXACA GREENWICH",9
"East Greenwich Village ","American","ALPHABET LOUNGE",9
"East Greenwich Village ","American","AU ZA'ATAR",9
"East Greenwich Village ","Pizza","DOMINO'S",9
"East Greenwich Village ","American","Evelyn",9
"East Greenwich Village ","Sandwiches","SUBWAY",9
"East Greenwich Village ","American","THE BLACK ROSE NY",9
"East Harlem","Chinese","HANG CHOU RESTAURANT",9
"East Harlem","Pizza","PIZZA PLUS",9
"East Harlem","Sandwiches","SUBWAY",9
"East Harlem ","Juice Smoothies Fruit Salads","BALLY TOTAL FITNESS",9
"East Harlem ","American","CREPE CAFE",9
"East Harlem ","Chinese","DOUBLE DRAGON 88",9
"East Harlem ","Chinese","GREAT HONG KONG INC",9
"East Harlem ","Pizza","LITTLE CAESARS",9
"East Harlem ","Thai","MALII",9
"East Harlem ","Spanish","SAPITO'S",9
"East Harlem ","American","SUPERIOR CAFE",9
"East Midtown ","Indian","44TH STREET MINAR",9
"East Midtown ","American","ANNIE MOORES PUB  RESTAURANT",9
"East Midtown ","Pizza","APERITIVO PIZZA BAR",9
"East Midtown ","Indian","CAFE SPICE",9
"East Midtown ","American","DELMONICO GOURMET",9
"East Midtown ","American","JEFFERIES CAFE 5th Floor",9
"East Midtown ","American","LIPS RESTAURANT",9
"East Midtown ","American","Market Cafe",9
"East Midtown ","Pizza","MY PIE",9
"East Midtown ","Bakery","PARIS BAGUETTE",9
"East Midtown ","Caf/Coffee/Tea","POD CAFE",9
"East Midtown ","American","THE KING COLE BAR AND SALON",9
"East Midtown ","American","TREEHAUS",9
"East Midtown ","American","UNCLE CHARLIE",9
"East Midtown ","Japanese","YAMA",9
"East Midtown ","Indian","YUVA FRONTIER INDIAN GRILL",9
"Financial District","Donuts","DUNKIN DONUTS",9
"Financial District","American","MANHATTAN PROPER",9
"Financial District","Irish","MAXWELL'S",9
"Financial District","Mexican","ROSA MEXICANO TRIBECA",9
"Financial District ","Mexican","CHIPOTLE MEXICAN GRILL",9
"Financial District ","Bagels/Pretzels","EAT A BAGEL On the Guy V Molinari Ferry",9
"Financial District ","Seafood","LUKE'S LOBSTER",9
"Financial District ","Scandinavian","SMORGAS CHEF/ CREPES DU NORD",9
"Financial District, Seaport","French","BRASSERIE LES HALLES",9
"Financial District, Seaport","American","DENNY'S",9
"Gramercy ","Delicatessen","BROADWAY CAFE",9
"Gramercy ","Eastern European","LOVE CAFE AND BAR",9
"Gramercy ","American","SONY HUB/COFFEE BAR",9
"Gramercy ","American","THE STOREHOUSE",9
"Greenwich Village ","Vegetarian","ANGELICA KITCHEN",9
"Greenwich Village ","Korean","BOWLLIN'",9
"Greenwich Village ","Chinese","CHEN'S EXPRESS KITCHEN",9
"Greenwich Village ","American","FRAICHE MAXX",9
"Greenwich Village ","Japanese","KANOYAMA",9
"Greenwich Village ","French","LE PETIT PARISIEN",9
"Greenwich Village ","Japanese","MIZU",9
"Greenwich Village ","Japanese","VILLAGE YOKOCHO",9
"Harlem","Bagels/Pretzels","ACTS 111 BAGELS",9
"Harlem","Hamburgers","MCDONALD'S",9
"Harlem","Chinese","MIN GOLDEN WOK",9
"Harlem ","Chicken","KENNEDY FRIED CHICKEN",9
"Inwood ","Latin Cuban Dominican Puerto Rican South  Central American","LA ESSENCIA RESTAURANT",9
"Lower East Side ","Caf/Coffee/Tea","CAKE SHOP",9
"Lower East Side ","American","CC'S CAFE",9
"Lower East Side ","Pizza","CLINTON SQUARE PIZZA",9
"Lower East Side ","Mexican","MISSION CANTINA",9
"Lower East Side ","Bakery","NEW WING WAH BAKERY",9
"Lower East Side ","Japanese","SOY",9
"Lower East Side ","Italian","TAVERNA DI BACCO",9
"Lower East Side ","Indian","THE MASALA WALA",9
"Midtown Upper East Side ","American","AMERICAS BURGER AND WRAPS",9
"Midtown Upper East Side ","Mediterranean","ANATOLIA MEDITERRANEAN CUISINE",9
"Midtown Upper East Side ","Barbecue","BROTHER JIMMY'S BBQ",9
"Midtown Upper East Side ","American","BURGER ONE NYC",9
"Midtown Upper East Side ","Italian","FRED'S AT BARNEY'S",9
"Midtown Upper East Side ","Barbecue","MIGHTY QUINN'S BBQ",9
"Midtown Upper East Side ","Tapas","PIL PIL",9
"Midtown Upper East Side ","Japanese","SASHIMI EXPRESS",9
"Midtown Upper East Side ","American","WING BISTRO",9
"Morningside Heights ","French","CHERI",9
"Morningside Heights ","French","CHOKOLAT PATISSERIE",9
"Murray Hill ","American","BLOOMS DELICATESSEN AND RESTAURANT",9
"Murray Hill ","Asian","BUBBLE TEA  CREPES",9
"Murray Hill ","Bakery","BUTTERCUP BAKE SHOP",9
"Murray Hill ","French","CHICKEN PROVENCE",9
"Murray Hill ","Pizza","DJ PIZZA",9
"Murray Hill ","Greek","EONS GREEK FOOD FOR LIFE",9
"Murray Hill ","Jewish/Kosher","LA BROCHETTE STEAKHOUSE",9
"Murray Hill ","Caf/Coffee/Tea","OXFORD CAFE",9
"Murray Hill ","Sandwiches","TASTY CAFE",9
"Roosevelt Island ","American","RIVERWALK BAR  GRILL EXPRESS",9
"Tribeca, Soho ","Pizza","ADORO LEI",9
"Tribeca, Soho ","American","APOTHEKE/CHEMIST",9
"Tribeca, Soho ","American","BAZ BAGEL  AND RESTAURANT",9
"Tribeca, Soho ","American","CITY WINERY",9
"Tribeca, Soho ","American","CRIMINAL COURT BLDG CAFETERIA",9
"Tribeca, Soho ","Mediterranean","GOTAN",9
"Tribeca, Soho ","Sandwiches","LE PAIN QUOTIDIEN",9
"Tribeca, Soho ","Chinese","NEW ASIAN CUISINE",9
"Tribeca, Soho ","American","SARABETH'S",9
"Tribeca, Soho ","American","SHERATON TRIBECA ANTICA/STARBUCKS",9
"Tribeca, Soho ","Chinese","TASTY DUMPLING",9
"Tribeca, Soho ","American","TROPICAL 128",9
"Upper East Side","Indian","BRICKLANE CURRY HOUSE",9
"Upper East Side","French","CAFE D'ALSACE",9
"Upper East Side","Other","JJ BROWN CUP",9
"Upper East Side","Indian","MUGHLAI INDIAN CUISINE",9
"Upper East Side","French","NOGLU NEW YORK",9
"Upper East Side","French","PASCALOU",9
"Upper East Side","Pizza","RAY'S PIZZA",9
"Upper East Side ","Italian","Campagnola Restaurant",9
"Upper East Side ","American","EAST END KITCHEN",9
"Upper East Side ","Latin Cuban Dominican Puerto Rican South  Central American","LATIN BITES",9
"Upper East Side ","Pizza","MARIELLA PIZZA",9
"Upper East Side ","Japanese","TANOSHI TEI",9
"Upper West Side","Italian","ARCO CAFE",9
"Upper West Side","Italian","BETTOLA",9
"Upper West Side","Pizza","PAPA JOHN'S SUBWAY",9
"Upper West Side ","Caf/Coffee/Tea","American Table Cafe and Bar ALLICE TULLY HALL",9
"Upper West Side ","Caf/Coffee/Tea","COCO FRESH JUICE AND TEA",9
"Village NoHo ","Mexican","CAFE EL PORTAL",9
"Village NoHo ","Indian","OM",9
"Village NoHo ","American","WENDY'S",9
"Village NoHo ","Caf/Coffee/Tea","YOURS TRULY",9
"Washington Heights","Chicken","BOSTON MARKET",9
"Washington Heights","Seafood","FISH  SHRIMP RESTAURANT SPOT",9
"Washington Heights","American","HEIGHTS TAVERN",9
"Washington Heights","Chinese","SPLENDID CHINA",9
"Washington Heights ","Pizza","RIOSSI PIZZA",9
"West Greenwich Village ","American","SWINE",9
"West Greenwich Village ","Pizza","WILD",9
"West Midtown ","American","1 2 3 BURGER SHOT BEER",9
"West Midtown ","Japanese","A CANAAN SUSHI",9
"West Midtown ","Bagels/Pretzels","AUNTIE ANNE'S PRETZELS",9
"West Midtown ","American","BAR 9",9
"West Midtown ","American","BLUE RUIN",9
"West Midtown ","TexMex","BURRITO BOX",9
"West Midtown ","American","CAFE MANHATTAN",9
"West Midtown ","Mexican","CANCUN MEXICAN RESTAURANT",9
"West Midtown ","Mexican","CHEVYS FRESH MEX",9
"West Midtown ","Continental","CREATIVE CATERERS",9
"West Midtown ","American","DELMONICO'S KITCHEN",9
"West Midtown ","American","FRAME GOURMET EATERY",9
"West Midtown ","Japanese","FUJI JAPANESE RESTAURANT",9
"West Midtown ","Soups  Sandwiches","HALE  HEARTY SOUP",9
"West Midtown ","Asian","HANAMICHI",9
"West Midtown ","Pizza","HIGHLINE PIZZERIA",9
"West Midtown ","American","INDIE FRESH",9
"West Midtown ","Pizza","KISS MY SLICE",9
"West Midtown ","American","MOE'S SOUTHWEST GRILL",9
"West Midtown ","Mediterranean","NANOOSH",9
"West Midtown ","Chinese","NEW KAM WEI",9
"West Midtown ","Chinese","PEKING ROAST DUCK",9
"West Midtown ","American","PROPER WEST",9
"West Midtown ","American","Quinn's Bar  Grill",9
"West Midtown ","American","RARE VIEW ROOFTOP",9
"West Midtown ","American","SCHMACKARY'S",9
"West Midtown ","Caf/Coffee/Tea","SIMON SIPS",9
"West Midtown ","Sandwiches/Salads/Mixed Buffet","SUBWAY",9
"West Midtown ","Japanese","SUSHIYA JAPANESE RESTAURANT",9
"West Midtown ","American","THE MANSFIELD BAR",9
"West Midtown ","TexMex","THE WAYLON",9
"West Midtown ","Latin Cuban Dominican Puerto Rican South  Central American","TINA'S RESTAURANT",9
"West Midtown ","Indian","TURMERIC NYC",9
"Chelsea Greenwich Village ","American","BARRACUDA BAR",8
"Chelsea Greenwich Village ","Hamburgers","BURGER JOINT",8
"Chelsea Greenwich Village ","Caf/Coffee/Tea","FIKA",8
"Chelsea Greenwich Village ","Vietnamese/Cambodian/Malaysia","NUM PANG SANDWICH SHOP",8
"Chelsea Greenwich Village ","American","THE MEZZ GOOGLE",8
"East Greenwich Village ","Latin Cuban Dominican Puerto Rican South  Central American","AREPA FACTORY",8
"East Greenwich Village ","American","BRUNO RAVIOLI",8
"East Harlem ","Asian","ASIAN GOURMET",8
"East Harlem ","Chinese","KING DRAGON 88",8
"East Midtown ","American","ANASSA TAVERNA",8
"East Midtown ","Greek","ETHOS GALLERY",8
"East Midtown ","American","HERB N' KITCHEN MARKET",8
"East Midtown ","Japanese","KATSUHAMA 47",8
"East Midtown ","Pizza","PAZZO PIZZA",8
"East Midtown ","Latin Cuban Dominican Puerto Rican South  Central American","ZENGO NYC",8
"Financial District","Donuts","DUNKIN' DONUTS",8
"Financial District ","American","STONE STREET TAVERN  52 STONE ST",8
"Financial District, Seaport","Delicatessen","PLAZA DELI",8
"Financial District, Seaport","American","SQUIRE DINER",8
"Gramercy ","Indian","INDAY",8
"Greenwich Village ","Caf/Coffee/Tea","COFFEE PROJECT NY",8
"Greenwich Village ","Mediterranean","LOCAL 92",8
"Greenwich Village ","Mexican","OTTO'S TACOS",8
"Greenwich Village ","American","THE FOURTH AMERICAN BRASSERIE",8
"Lower East Side ","Other","BOBA GUYS",8
"Lower East Side ","Caf/Coffee/Tea","CAFFE VITA",8
"Lower East Side ","Brazilian","GALERIA",8
"Lower East Side ","Chinese","GOLDEN BOWL RESTAURANT",8
"Lower East Side ","American","MR FONG'S",8
"Midtown Upper East Side ","Italian","MARONI HOT POTS",8
"Murray Hill ","Moroccan","BARBES",8
"Murray Hill ","Korean","BREAD  BUTTER",8
"Murray Hill ","Italian","PATRIZIAS OF BROOKLYN",8
"Tribeca, Soho ","Greek","GREECOLOGIES",8
"Tribeca, Soho ","American","NANCY WHISKEY PUB",8
"Tribeca, Soho ","Chinese","New Style Handpulled Noodles",8
"Tribeca, Soho ","American","SMILE TO GO",8
"Tribeca, Soho ","Caf/Coffee/Tea","VIVI BUBBLE TEA",8
"Upper East Side","French","BONJOUR CREPES  WINE",8
"Upper East Side","American","GREEN CAFE",8
"Upper East Side","African","KAIA WINE BAR",8
"Upper East Side","American","REIF'S TAVERN",8
"Upper East Side ","French","BRASSERIE COGNAC EAST",8
"Upper East Side ","Caf/Coffee/Tea","CORRADO BREAD AND PASTRY",8
"Upper East Side ","American","THE BURGER BISTRO",8
"Upper East Side ","Italian","ZUCCHERO E POMODORI",8
"Upper West Side","Chinese","A NEW SAIGON VIETNAMESE CUISINE",8
"Upper West Side","French","CAFE DU SOLEIL",8
"Upper West Side","Chinese","EMPIRE GARDEN",8
"Upper West Side","Hamburgers","MEL'S BURGER BAR",8
"Upper West Side","Jewish/Kosher","PRIME KO",8
"Upper West Side","Greek","SYMPOSIUM GREEK RESTAURANT",8
"Village NoHo ","French","BALTHAZAR RESTAURANT",8
"Village NoHo ","Delicatessen","PARISI BAKERY",8
"Washington Heights","Jewish/Kosher","CHOP CHOP",8
"Washington Heights ","American","ANGRY BURGER",8
"West Greenwich Village ","Caf/Coffee/Tea","GROUNDED",8
"West Midtown ","Other","BREAD FACTORY CAFE",8
"West Midtown ","Caf/Coffee/Tea","CAFE TARANTIN",8
"West Midtown ","American","CAFFE BENE",8
"West Midtown ","American","COSMIC DINER",8
"West Midtown ","Donuts","DUNKIN DONUTS  BASKIN ROBBINS",8
"West Midtown ","Juice Smoothies Fruit Salads","EQUINOX COLUMBUS CIRCLE",8
"West Midtown ","American","FAVORITE CAFE",8
"West Midtown ","Ice Cream Gelato Yogurt Ices","FRANNIE'S YOART",8
